task,category,primary_metric,model_key
ahi_group_rank,ordering,pairwise_accuracy,nova-pro
ahi_group_rank,ordering,pairwise_accuracy,pixtral-large
alt,phenotype_recovery,r2,claude-haiku-4.5
alt,phenotype_recovery,r2,claude-opus-4.8
alt,phenotype_recovery,r2,claude-sonnet-5
alt,phenotype_recovery,r2,deepseek-v4-pro
alt,phenotype_recovery,r2,gemini-3.1-flash-lite
alt,phenotype_recovery,r2,gemini-3.7-flash
alt,phenotype_recovery,r2,gpt-5.4-nano
alt,phenotype_recovery,r2,gpt-5.6-luna
alt,phenotype_recovery,r2,llama-3.3-70b
alt,phenotype_recovery,r2,llama-4-maverick
alt,phenotype_recovery,r2,nova-pro
alt,phenotype_recovery,r2,pixtral-large
cimt,phenotype_recovery,r2,claude-haiku-4.5
cimt,phenotype_recovery,r2,claude-opus-4.8
cimt,phenotype_recovery,r2,claude-sonnet-5
cimt,phenotype_recovery,r2,deepseek-v4-pro
cimt,phenotype_recovery,r2,gemini-3.1-flash-lite
cimt,phenotype_recovery,r2,gemini-3.7-flash
cimt,phenotype_recovery,r2,gpt-5.4-nano
cimt,phenotype_recovery,r2,gpt-5.6-luna
cimt,phenotype_recovery,r2,llama-3.3-70b
cimt,phenotype_recovery,r2,llama-4-maverick
cimt,phenotype_recovery,r2,nova-pro
cimt,phenotype_recovery,r2,pixtral-large
cimt_group_rank,ordering,pairwise_accuracy,claude-haiku-4.5
cimt_group_rank,ordering,pairwise_accuracy,claude-opus-4.8
cimt_group_rank,ordering,pairwise_accuracy,claude-sonnet-5
cimt_group_rank,ordering,pairwise_accuracy,deepseek-v4-pro
cimt_group_rank,ordering,pairwise_accuracy,gemini-3.1-flash-lite
cimt_group_rank,ordering,pairwise_accuracy,gemini-3.1-pro
cimt_group_rank,ordering,pairwise_accuracy,gemini-3.7-flash
cimt_group_rank,ordering,pairwise_accuracy,gpt-5.4-nano
cimt_group_rank,ordering,pairwise_accuracy,gpt-5.6-luna
cimt_group_rank,ordering,pairwise_accuracy,grok-4.3
cimt_group_rank,ordering,pairwise_accuracy,llama-3.3-70b
cimt_group_rank,ordering,pairwise_accuracy,llama-4-maverick
cimt_group_rank,ordering,pairwise_accuracy,nova-pro
cimt_group_rank,ordering,pairwise_accuracy,pixtral-large
dbp,phenotype_recovery,r2,claude-haiku-4.5
dbp,phenotype_recovery,r2,claude-opus-4.8
dbp,phenotype_recovery,r2,claude-sonnet-5
dbp,phenotype_recovery,r2,deepseek-v4-pro
dbp,phenotype_recovery,r2,gemini-3.1-flash-lite
dbp,phenotype_recovery,r2,gemini-3.7-flash
dbp,phenotype_recovery,r2,gpt-5.4-nano
dbp,phenotype_recovery,r2,gpt-5.6-luna
dbp,phenotype_recovery,r2,llama-3.3-70b
dbp,phenotype_recovery,r2,llama-4-maverick
dbp,phenotype_recovery,r2,nova-pro
dbp,phenotype_recovery,r2,pixtral-large
dbp_followup,longitudinal_forecasting,r2,claude-haiku-4.5
dbp_followup,longitudinal_forecasting,r2,claude-opus-4.8
dbp_followup,longitudinal_forecasting,r2,claude-sonnet-5
dbp_followup,longitudinal_forecasting,r2,deepseek-v4-pro
dbp_followup,longitudinal_forecasting,r2,gemini-3.1-flash-lite
dbp_followup,longitudinal_forecasting,r2,gemini-3.7-flash
dbp_followup,longitudinal_forecasting,r2,gpt-5.4-nano
dbp_followup,longitudinal_forecasting,r2,gpt-5.6-luna
dbp_followup,longitudinal_forecasting,r2,llama-3.3-70b
dbp_followup,longitudinal_forecasting,r2,llama-4-maverick
dbp_followup,longitudinal_forecasting,r2,nova-pro
dbp_followup,longitudinal_forecasting,r2,pixtral-large
fatty_liver_disease_status,classification,roc_auc,claude-haiku-4.5
fatty_liver_disease_status,classification,roc_auc,claude-opus-4.8
fatty_liver_disease_status,classification,roc_auc,claude-sonnet-5
fatty_liver_disease_status,classification,roc_auc,deepseek-v4-pro
fatty_liver_disease_status,classification,roc_auc,gemini-3.1-flash-lite
fatty_liver_disease_status,classification,roc_auc,gemini-3.1-pro
fatty_liver_disease_status,classification,roc_auc,gemini-3.7-flash
fatty_liver_disease_status,classification,roc_auc,gpt-5.4-nano
fatty_liver_disease_status,classification,roc_auc,gpt-5.6-luna
fatty_liver_disease_status,classification,roc_auc,grok-4.3
fatty_liver_disease_status,classification,roc_auc,llama-3.3-70b
fatty_liver_disease_status,classification,roc_auc,llama-4-maverick
fatty_liver_disease_status,classification,roc_auc,nova-pro
fatty_liver_disease_status,classification,roc_auc,pixtral-large
femoral_neck_bmd,phenotype_recovery,r2,claude-haiku-4.5
femoral_neck_bmd,phenotype_recovery,r2,claude-opus-4.8
femoral_neck_bmd,phenotype_recovery,r2,gemini-3.1-flash-lite
femoral_neck_bmd,phenotype_recovery,r2,gemini-3.1-pro
femoral_neck_bmd,phenotype_recovery,r2,gemini-3.7-flash
femoral_neck_bmd,phenotype_recovery,r2,gpt-5.4-nano
femoral_neck_bmd,phenotype_recovery,r2,gpt-5.6-luna
femoral_neck_bmd,phenotype_recovery,r2,grok-4.3
femoral_neck_bmd,phenotype_recovery,r2,llama-3.3-70b
femoral_neck_bmd,phenotype_recovery,r2,llama-4-maverick
femoral_neck_bmd,phenotype_recovery,r2,nova-pro
femoral_neck_bmd,phenotype_recovery,r2,pixtral-large
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,claude-haiku-4.5
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,claude-opus-4.8
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,claude-sonnet-5
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,deepseek-v4-pro
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,gemini-3.1-flash-lite
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,gemini-3.1-pro
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,gemini-3.7-flash
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,gpt-5.4-nano
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,gpt-5.6-luna
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,grok-4.3
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,llama-3.3-70b
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,llama-4-maverick
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,nova-pro
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,pixtral-large
ferritin,phenotype_recovery,r2,claude-haiku-4.5
ferritin,phenotype_recovery,r2,claude-opus-4.8
ferritin,phenotype_recovery,r2,claude-sonnet-5
ferritin,phenotype_recovery,r2,deepseek-v4-pro
ferritin,phenotype_recovery,r2,gemini-3.1-flash-lite
ferritin,phenotype_recovery,r2,gemini-3.7-flash
ferritin,phenotype_recovery,r2,gpt-5.4-nano
ferritin,phenotype_recovery,r2,gpt-5.6-luna
ferritin,phenotype_recovery,r2,llama-3.3-70b
ferritin,phenotype_recovery,r2,llama-4-maverick
ferritin,phenotype_recovery,r2,nova-pro
ferritin,phenotype_recovery,r2,pixtral-large
fundus_artery_average_width,phenotype_recovery,r2,claude-haiku-4.5
fundus_artery_average_width,phenotype_recovery,r2,claude-opus-4.8
fundus_artery_average_width,phenotype_recovery,r2,gemini-3.1-flash-lite
fundus_artery_average_width,phenotype_recovery,r2,gemini-3.1-pro
fundus_artery_average_width,phenotype_recovery,r2,gemini-3.7-flash
fundus_artery_average_width,phenotype_recovery,r2,gpt-5.4-nano
fundus_artery_average_width,phenotype_recovery,r2,gpt-5.6-luna
fundus_artery_average_width,phenotype_recovery,r2,grok-4.3
fundus_artery_average_width,phenotype_recovery,r2,llama-3.3-70b
fundus_artery_average_width,phenotype_recovery,r2,llama-4-maverick
fundus_artery_average_width,phenotype_recovery,r2,nova-pro
fundus_artery_average_width,phenotype_recovery,r2,pixtral-large
gut_shannon_diversity,phenotype_recovery,r2,claude-haiku-4.5
gut_shannon_diversity,phenotype_recovery,r2,claude-opus-4.8
gut_shannon_diversity,phenotype_recovery,r2,gemini-3.1-flash-lite
gut_shannon_diversity,phenotype_recovery,r2,gemini-3.1-pro
gut_shannon_diversity,phenotype_recovery,r2,gemini-3.7-flash
gut_shannon_diversity,phenotype_recovery,r2,gpt-5.4-nano
gut_shannon_diversity,phenotype_recovery,r2,gpt-5.6-luna
gut_shannon_diversity,phenotype_recovery,r2,grok-4.3
gut_shannon_diversity,phenotype_recovery,r2,llama-3.3-70b
gut_shannon_diversity,phenotype_recovery,r2,llama-4-maverick
gut_shannon_diversity,phenotype_recovery,r2,nova-pro
gut_shannon_diversity,phenotype_recovery,r2,pixtral-large
hba1c,phenotype_recovery,r2,claude-haiku-4.5
hba1c,phenotype_recovery,r2,claude-opus-4.8
hba1c,phenotype_recovery,r2,claude-sonnet-5
hba1c,phenotype_recovery,r2,deepseek-v4-pro
hba1c,phenotype_recovery,r2,gemini-3.1-flash-lite
hba1c,phenotype_recovery,r2,gemini-3.1-pro
hba1c,phenotype_recovery,r2,gemini-3.7-flash
hba1c,phenotype_recovery,r2,gpt-5.4-nano
hba1c,phenotype_recovery,r2,gpt-5.6-luna
hba1c,phenotype_recovery,r2,grok-4.3
hba1c,phenotype_recovery,r2,llama-3.3-70b
hba1c,phenotype_recovery,r2,llama-4-maverick
hba1c,phenotype_recovery,r2,nova-pro
hba1c,phenotype_recovery,r2,pixtral-large
hba1c_group_rank,ordering,pairwise_accuracy,claude-haiku-4.5
hba1c_group_rank,ordering,pairwise_accuracy,claude-opus-4.8
hba1c_group_rank,ordering,pairwise_accuracy,claude-sonnet-5
hba1c_group_rank,ordering,pairwise_accuracy,deepseek-v4-pro
hba1c_group_rank,ordering,pairwise_accuracy,gemini-3.1-flash-lite
hba1c_group_rank,ordering,pairwise_accuracy,gemini-3.1-pro
hba1c_group_rank,ordering,pairwise_accuracy,gemini-3.7-flash
hba1c_group_rank,ordering,pairwise_accuracy,gpt-5.4-nano
hba1c_group_rank,ordering,pairwise_accuracy,gpt-5.6-luna
hba1c_group_rank,ordering,pairwise_accuracy,grok-4.3
hba1c_group_rank,ordering,pairwise_accuracy,llama-3.3-70b
hba1c_group_rank,ordering,pairwise_accuracy,llama-4-maverick
hba1c_group_rank,ordering,pairwise_accuracy,nova-pro
hba1c_group_rank,ordering,pairwise_accuracy,pixtral-large
hemoglobin,phenotype_recovery,r2,claude-haiku-4.5
hemoglobin,phenotype_recovery,r2,claude-opus-4.8
hemoglobin,phenotype_recovery,r2,claude-sonnet-5
hemoglobin,phenotype_recovery,r2,deepseek-v4-pro
hemoglobin,phenotype_recovery,r2,gemini-3.1-flash-lite
hemoglobin,phenotype_recovery,r2,gemini-3.7-flash
hemoglobin,phenotype_recovery,r2,gpt-5.4-nano
hemoglobin,phenotype_recovery,r2,gpt-5.6-luna
hemoglobin,phenotype_recovery,r2,llama-3.3-70b
hemoglobin,phenotype_recovery,r2,llama-4-maverick
hemoglobin,phenotype_recovery,r2,nova-pro
hemoglobin,phenotype_recovery,r2,pixtral-large
hypertension_status,classification,roc_auc,claude-haiku-4.5
hypertension_status,classification,roc_auc,claude-opus-4.8
hypertension_status,classification,roc_auc,claude-sonnet-5
hypertension_status,classification,roc_auc,deepseek-v4-pro
hypertension_status,classification,roc_auc,gemini-3.1-flash-lite
hypertension_status,classification,roc_auc,gemini-3.1-pro
hypertension_status,classification,roc_auc,gemini-3.7-flash
hypertension_status,classification,roc_auc,gpt-5.4-nano
hypertension_status,classification,roc_auc,gpt-5.6-luna
hypertension_status,classification,roc_auc,grok-4.3
hypertension_status,classification,roc_auc,llama-3.3-70b
hypertension_status,classification,roc_auc,llama-4-maverick
hypertension_status,classification,roc_auc,nova-pro
hypertension_status,classification,roc_auc,pixtral-large
hypothyroidism_status,classification,roc_auc,claude-haiku-4.5
hypothyroidism_status,classification,roc_auc,claude-opus-4.8
hypothyroidism_status,classification,roc_auc,claude-sonnet-5
hypothyroidism_status,classification,roc_auc,deepseek-v4-pro
hypothyroidism_status,classification,roc_auc,gemini-3.1-flash-lite
hypothyroidism_status,classification,roc_auc,gemini-3.7-flash
hypothyroidism_status,classification,roc_auc,gpt-5.4-nano
hypothyroidism_status,classification,roc_auc,gpt-5.6-luna
hypothyroidism_status,classification,roc_auc,llama-3.3-70b
hypothyroidism_status,classification,roc_auc,llama-4-maverick
hypothyroidism_status,classification,roc_auc,nova-pro
hypothyroidism_status,classification,roc_auc,pixtral-large
liver_attenuation,phenotype_recovery,r2,claude-haiku-4.5
liver_attenuation,phenotype_recovery,r2,claude-opus-4.8
liver_attenuation,phenotype_recovery,r2,gemini-3.1-flash-lite
liver_attenuation,phenotype_recovery,r2,gemini-3.1-pro
liver_attenuation,phenotype_recovery,r2,gemini-3.7-flash
liver_attenuation,phenotype_recovery,r2,gpt-5.4-nano
liver_attenuation,phenotype_recovery,r2,gpt-5.6-luna
liver_attenuation,phenotype_recovery,r2,grok-4.3
liver_attenuation,phenotype_recovery,r2,llama-3.3-70b
liver_attenuation,phenotype_recovery,r2,llama-4-maverick
liver_attenuation,phenotype_recovery,r2,nova-pro
liver_attenuation,phenotype_recovery,r2,pixtral-large
liver_attenuation_followup,longitudinal_forecasting,r2,claude-haiku-4.5
liver_attenuation_followup,longitudinal_forecasting,r2,claude-opus-4.8
liver_attenuation_followup,longitudinal_forecasting,r2,claude-sonnet-5
liver_attenuation_followup,longitudinal_forecasting,r2,deepseek-v4-pro
liver_attenuation_followup,longitudinal_forecasting,r2,gemini-3.1-flash-lite
liver_attenuation_followup,longitudinal_forecasting,r2,gemini-3.7-flash
liver_attenuation_followup,longitudinal_forecasting,r2,gpt-5.4-nano
liver_attenuation_followup,longitudinal_forecasting,r2,gpt-5.6-luna
liver_attenuation_followup,longitudinal_forecasting,r2,llama-3.3-70b
liver_attenuation_followup,longitudinal_forecasting,r2,llama-4-maverick
liver_attenuation_followup,longitudinal_forecasting,r2,nova-pro
liver_attenuation_followup,longitudinal_forecasting,r2,pixtral-large
liver_stiffness,phenotype_recovery,r2,claude-haiku-4.5
liver_stiffness,phenotype_recovery,r2,claude-opus-4.8
liver_stiffness,phenotype_recovery,r2,claude-sonnet-5
liver_stiffness,phenotype_recovery,r2,deepseek-v4-pro
liver_stiffness,phenotype_recovery,r2,gemini-3.1-flash-lite
liver_stiffness,phenotype_recovery,r2,gemini-3.7-flash
liver_stiffness,phenotype_recovery,r2,gpt-5.4-nano
liver_stiffness,phenotype_recovery,r2,gpt-5.6-luna
liver_stiffness,phenotype_recovery,r2,llama-3.3-70b
liver_stiffness,phenotype_recovery,r2,llama-4-maverick
liver_stiffness,phenotype_recovery,r2,nova-pro
liver_stiffness,phenotype_recovery,r2,pixtral-large
lumbar_spine_bmd,phenotype_recovery,r2,claude-haiku-4.5
lumbar_spine_bmd,phenotype_recovery,r2,claude-opus-4.8
lumbar_spine_bmd,phenotype_recovery,r2,claude-sonnet-5
lumbar_spine_bmd,phenotype_recovery,r2,deepseek-v4-pro
lumbar_spine_bmd,phenotype_recovery,r2,gemini-3.1-flash-lite
lumbar_spine_bmd,phenotype_recovery,r2,gemini-3.7-flash
lumbar_spine_bmd,phenotype_recovery,r2,gpt-5.4-nano
lumbar_spine_bmd,phenotype_recovery,r2,gpt-5.6-luna
lumbar_spine_bmd,phenotype_recovery,r2,llama-3.3-70b
lumbar_spine_bmd,phenotype_recovery,r2,llama-4-maverick
lumbar_spine_bmd,phenotype_recovery,r2,nova-pro
lumbar_spine_bmd,phenotype_recovery,r2,pixtral-large
maximum_bilateral_grip_strength,phenotype_recovery,r2,claude-haiku-4.5
maximum_bilateral_grip_strength,phenotype_recovery,r2,claude-opus-4.8
maximum_bilateral_grip_strength,phenotype_recovery,r2,claude-sonnet-5
maximum_bilateral_grip_strength,phenotype_recovery,r2,deepseek-v4-pro
maximum_bilateral_grip_strength,phenotype_recovery,r2,gemini-3.1-flash-lite
maximum_bilateral_grip_strength,phenotype_recovery,r2,gemini-3.7-flash
maximum_bilateral_grip_strength,phenotype_recovery,r2,gpt-5.4-nano
maximum_bilateral_grip_strength,phenotype_recovery,r2,gpt-5.6-luna
maximum_bilateral_grip_strength,phenotype_recovery,r2,llama-3.3-70b
maximum_bilateral_grip_strength,phenotype_recovery,r2,llama-4-maverick
maximum_bilateral_grip_strength,phenotype_recovery,r2,nova-pro
maximum_bilateral_grip_strength,phenotype_recovery,r2,pixtral-large
migraine_status,classification,roc_auc,claude-haiku-4.5
migraine_status,classification,roc_auc,claude-opus-4.8
migraine_status,classification,roc_auc,claude-sonnet-5
migraine_status,classification,roc_auc,deepseek-v4-pro
migraine_status,classification,roc_auc,gemini-3.1-flash-lite
migraine_status,classification,roc_auc,gemini-3.7-flash
migraine_status,classification,roc_auc,gpt-5.4-nano
migraine_status,classification,roc_auc,gpt-5.6-luna
migraine_status,classification,roc_auc,llama-3.3-70b
migraine_status,classification,roc_auc,llama-4-maverick
migraine_status,classification,roc_auc,nova-pro
migraine_status,classification,roc_auc,pixtral-large
minimum_bilateral_abi,phenotype_recovery,r2,claude-haiku-4.5
minimum_bilateral_abi,phenotype_recovery,r2,claude-opus-4.8
minimum_bilateral_abi,phenotype_recovery,r2,claude-sonnet-5
minimum_bilateral_abi,phenotype_recovery,r2,deepseek-v4-pro
minimum_bilateral_abi,phenotype_recovery,r2,gemini-3.1-flash-lite
minimum_bilateral_abi,phenotype_recovery,r2,gemini-3.7-flash
minimum_bilateral_abi,phenotype_recovery,r2,gpt-5.4-nano
minimum_bilateral_abi,phenotype_recovery,r2,gpt-5.6-luna
minimum_bilateral_abi,phenotype_recovery,r2,llama-3.3-70b
minimum_bilateral_abi,phenotype_recovery,r2,llama-4-maverick
minimum_bilateral_abi,phenotype_recovery,r2,nova-pro
minimum_bilateral_abi,phenotype_recovery,r2,pixtral-large
minimum_nocturnal_spo2,phenotype_recovery,r2,claude-haiku-4.5
minimum_nocturnal_spo2,phenotype_recovery,r2,claude-opus-4.8
minimum_nocturnal_spo2,phenotype_recovery,r2,claude-sonnet-5
minimum_nocturnal_spo2,phenotype_recovery,r2,deepseek-v4-pro
minimum_nocturnal_spo2,phenotype_recovery,r2,gemini-3.1-flash-lite
minimum_nocturnal_spo2,phenotype_recovery,r2,gemini-3.7-flash
minimum_nocturnal_spo2,phenotype_recovery,r2,gpt-5.4-nano
minimum_nocturnal_spo2,phenotype_recovery,r2,gpt-5.6-luna
minimum_nocturnal_spo2,phenotype_recovery,r2,llama-3.3-70b
minimum_nocturnal_spo2,phenotype_recovery,r2,llama-4-maverick
minimum_nocturnal_spo2,phenotype_recovery,r2,nova-pro
minimum_nocturnal_spo2,phenotype_recovery,r2,pixtral-large
prediabetes_status,classification,roc_auc,claude-haiku-4.5
prediabetes_status,classification,roc_auc,claude-opus-4.8
prediabetes_status,classification,roc_auc,claude-sonnet-5
prediabetes_status,classification,roc_auc,deepseek-v4-pro
prediabetes_status,classification,roc_auc,gemini-3.1-flash-lite
prediabetes_status,classification,roc_auc,gemini-3.1-pro
prediabetes_status,classification,roc_auc,gemini-3.7-flash
prediabetes_status,classification,roc_auc,gpt-5.4-nano
prediabetes_status,classification,roc_auc,gpt-5.6-luna
prediabetes_status,classification,roc_auc,grok-4.3
prediabetes_status,classification,roc_auc,llama-3.3-70b
prediabetes_status,classification,roc_auc,llama-4-maverick
prediabetes_status,classification,roc_auc,nova-pro
prediabetes_status,classification,roc_auc,pixtral-large
qt_interval,phenotype_recovery,r2,claude-haiku-4.5
qt_interval,phenotype_recovery,r2,claude-opus-4.8
qt_interval,phenotype_recovery,r2,claude-sonnet-5
qt_interval,phenotype_recovery,r2,deepseek-v4-pro
qt_interval,phenotype_recovery,r2,gemini-3.1-flash-lite
qt_interval,phenotype_recovery,r2,gemini-3.7-flash
qt_interval,phenotype_recovery,r2,gpt-5.4-nano
qt_interval,phenotype_recovery,r2,gpt-5.6-luna
qt_interval,phenotype_recovery,r2,llama-3.3-70b
qt_interval,phenotype_recovery,r2,llama-4-maverick
qt_interval,phenotype_recovery,r2,nova-pro
qt_interval,phenotype_recovery,r2,pixtral-large
resting_hr,phenotype_recovery,r2,claude-haiku-4.5
resting_hr,phenotype_recovery,r2,claude-opus-4.8
resting_hr,phenotype_recovery,r2,gemini-3.1-flash-lite
resting_hr,phenotype_recovery,r2,gemini-3.1-pro
resting_hr,phenotype_recovery,r2,gemini-3.7-flash
resting_hr,phenotype_recovery,r2,gpt-5.4-nano
resting_hr,phenotype_recovery,r2,gpt-5.6-luna
resting_hr,phenotype_recovery,r2,grok-4.3
resting_hr,phenotype_recovery,r2,llama-3.3-70b
resting_hr,phenotype_recovery,r2,llama-4-maverick
resting_hr,phenotype_recovery,r2,nova-pro
resting_hr,phenotype_recovery,r2,pixtral-large
sbp,phenotype_recovery,r2,claude-haiku-4.5
sbp,phenotype_recovery,r2,claude-opus-4.8
sbp,phenotype_recovery,r2,gemini-3.1-flash-lite
sbp,phenotype_recovery,r2,gemini-3.1-pro
sbp,phenotype_recovery,r2,gemini-3.7-flash
sbp,phenotype_recovery,r2,gpt-5.4-nano
sbp,phenotype_recovery,r2,gpt-5.6-luna
sbp,phenotype_recovery,r2,grok-4.3
sbp,phenotype_recovery,r2,llama-3.3-70b
sbp,phenotype_recovery,r2,llama-4-maverick
sbp,phenotype_recovery,r2,nova-pro
sbp,phenotype_recovery,r2,pixtral-large
sbp_followup,longitudinal_forecasting,r2,claude-haiku-4.5
sbp_followup,longitudinal_forecasting,r2,claude-opus-4.8
sbp_followup,longitudinal_forecasting,r2,claude-sonnet-5
sbp_followup,longitudinal_forecasting,r2,deepseek-v4-pro
sbp_followup,longitudinal_forecasting,r2,gemini-3.1-flash-lite
sbp_followup,longitudinal_forecasting,r2,gemini-3.7-flash
sbp_followup,longitudinal_forecasting,r2,gpt-5.4-nano
sbp_followup,longitudinal_forecasting,r2,gpt-5.6-luna
sbp_followup,longitudinal_forecasting,r2,llama-3.3-70b
sbp_followup,longitudinal_forecasting,r2,llama-4-maverick
sbp_followup,longitudinal_forecasting,r2,nova-pro
sbp_followup,longitudinal_forecasting,r2,pixtral-large
sbp_group_rank,ordering,pairwise_accuracy,claude-haiku-4.5
sbp_group_rank,ordering,pairwise_accuracy,claude-opus-4.8
sbp_group_rank,ordering,pairwise_accuracy,claude-sonnet-5
sbp_group_rank,ordering,pairwise_accuracy,deepseek-v4-pro
sbp_group_rank,ordering,pairwise_accuracy,gemini-3.1-flash-lite
sbp_group_rank,ordering,pairwise_accuracy,gemini-3.1-pro
sbp_group_rank,ordering,pairwise_accuracy,gemini-3.7-flash
sbp_group_rank,ordering,pairwise_accuracy,gpt-5.4-nano
sbp_group_rank,ordering,pairwise_accuracy,gpt-5.6-luna
sbp_group_rank,ordering,pairwise_accuracy,grok-4.3
sbp_group_rank,ordering,pairwise_accuracy,llama-3.3-70b
sbp_group_rank,ordering,pairwise_accuracy,llama-4-maverick
sbp_group_rank,ordering,pairwise_accuracy,nova-pro
sbp_group_rank,ordering,pairwise_accuracy,pixtral-large
sleep_efficiency,phenotype_recovery,r2,claude-haiku-4.5
sleep_efficiency,phenotype_recovery,r2,claude-opus-4.8
sleep_efficiency,phenotype_recovery,r2,claude-sonnet-5
sleep_efficiency,phenotype_recovery,r2,deepseek-v4-pro
sleep_efficiency,phenotype_recovery,r2,gemini-3.1-flash-lite
sleep_efficiency,phenotype_recovery,r2,gemini-3.7-flash
sleep_efficiency,phenotype_recovery,r2,gpt-5.4-nano
sleep_efficiency,phenotype_recovery,r2,gpt-5.6-luna
sleep_efficiency,phenotype_recovery,r2,llama-3.3-70b
sleep_efficiency,phenotype_recovery,r2,llama-4-maverick
sleep_efficiency,phenotype_recovery,r2,nova-pro
sleep_efficiency,phenotype_recovery,r2,pixtral-large
thigh_ankle_pwv,phenotype_recovery,r2,claude-haiku-4.5
thigh_ankle_pwv,phenotype_recovery,r2,claude-opus-4.8
thigh_ankle_pwv,phenotype_recovery,r2,gemini-3.1-flash-lite
thigh_ankle_pwv,phenotype_recovery,r2,gemini-3.1-pro
thigh_ankle_pwv,phenotype_recovery,r2,gemini-3.7-flash
thigh_ankle_pwv,phenotype_recovery,r2,gpt-5.4-nano
thigh_ankle_pwv,phenotype_recovery,r2,gpt-5.6-luna
thigh_ankle_pwv,phenotype_recovery,r2,grok-4.3
thigh_ankle_pwv,phenotype_recovery,r2,llama-3.3-70b
thigh_ankle_pwv,phenotype_recovery,r2,llama-4-maverick
thigh_ankle_pwv,phenotype_recovery,r2,nova-pro
thigh_ankle_pwv,phenotype_recovery,r2,pixtral-large
tsh,phenotype_recovery,r2,claude-haiku-4.5
tsh,phenotype_recovery,r2,claude-opus-4.8
tsh,phenotype_recovery,r2,gemini-3.1-flash-lite
tsh,phenotype_recovery,r2,gemini-3.1-pro
tsh,phenotype_recovery,r2,gemini-3.7-flash
tsh,phenotype_recovery,r2,gpt-5.4-nano
tsh,phenotype_recovery,r2,gpt-5.6-luna
tsh,phenotype_recovery,r2,grok-4.3
tsh,phenotype_recovery,r2,llama-3.3-70b
tsh,phenotype_recovery,r2,llama-4-maverick
tsh,phenotype_recovery,r2,nova-pro
tsh,phenotype_recovery,r2,pixtral-large
urate,phenotype_recovery,r2,claude-haiku-4.5
urate,phenotype_recovery,r2,claude-opus-4.8
urate,phenotype_recovery,r2,gemini-3.1-flash-lite
urate,phenotype_recovery,r2,gemini-3.1-pro
urate,phenotype_recovery,r2,gemini-3.7-flash
urate,phenotype_recovery,r2,gpt-5.4-nano
urate,phenotype_recovery,r2,gpt-5.6-luna
urate,phenotype_recovery,r2,grok-4.3
urate,phenotype_recovery,r2,llama-3.3-70b
